LookUp_BoroughName,MajorText,MinorText,Date,Homicide_Counts
Barking and Dagenham,Violence Against the Person,Homicide,2010-04-01,0
Barnet,Violence Against the Person,Homicide,2010-04-01,0
Bexley,Violence Against the Person,Homicide,2010-04-01,0
Brent,Violence Against the Person,Homicide,2010-04-01,0
Bromley,Violence Against the Person,Homicide,2010-04-01,0
Camden,Violence Against the Person,Homicide,2010-04-01,0
Croydon,Violence Against the Person,Homicide,2010-04-01,2
Ealing,Violence Against the Person,Homicide,2010-04-01,1
Enfield,Violence Against the Person,Homicide,2010-04-01,1
Greenwich,Violence Against the Person,Homicide,2010-04-01,1
Hackney,Violence Against the Person,Homicide,2010-04-01,1
Hammersmith and Fulham,Violence Against the Person,Homicide,2010-04-01,0
Haringey,Violence Against the Person,Homicide,2010-04-01,2
Harrow,Violence Against the Person,Homicide,2010-04-01,0
Havering,Violence Against the Person,Homicide,2010-04-01,0
Hillingdon,Violence Against the Person,Homicide,2010-04-01,0
Hounslow,Violence Against the Person,Homicide,2010-04-01,0
Islington,Violence Against the Person,Homicide,2010-04-01,1
Kensington and Chelsea,Violence Against the Person,Homicide,2010-04-01,0
Kingston upon Thames,Violence Against the Person,Homicide,2010-04-01,0
Lambeth,Violence Against the Person,Homicide,2010-04-01,2
Lewisham,Violence Against the Person,Homicide,2010-04-01,1
London Heathrow and London City Airports,Violence Against the Person,Homicide,2010-04-01,0
Merton,Violence Against the Person,Homicide,2010-04-01,0
Newham,Violence Against the Person,Homicide,2010-04-01,1
Redbridge,Violence Against the Person,Homicide,2010-04-01,0
Richmond upon Thames,Violence Against the Person,Homicide,2010-04-01,0
Southwark,Violence Against the Person,Homicide,2010-04-01,1
Sutton,Violence Against the Person,Homicide,2010-04-01,1
Tower Hamlets,Violence Against the Person,Homicide,2010-04-01,1
Waltham Forest,Violence Against the Person,Homicide,2010-04-01,1
Wandsworth,Violence Against the Person,Homicide,2010-04-01,0
Westminster,Violence Against the Person,Homicide,2010-04-01,0
Barking and Dagenham,Violence Against the Person,Homicide,2010-05-01,0
Barnet,Violence Against the Person,Homicide,2010-05-01,0
Bexley,Violence Against the Person,Homicide,2010-05-01,0
Brent,Violence Against the Person,Homicide,2010-05-01,0
Bromley,Violence Against the Person,Homicide,2010-05-01,0
Camden,Violence Against the Person,Homicide,2010-05-01,0
Croydon,Violence Against the Person,Homicide,2010-05-01,0
Ealing,Violence Against the Person,Homicide,2010-05-01,1
Enfield,Violence Against the Person,Homicide,2010-05-01,0
Greenwich,Violence Against the Person,Homicide,2010-05-01,1
Hackney,Violence Against the Person,Homicide,2010-05-01,0
